name,path,duration,bitrate,size_mb,num_streams,format
ACDC - Thunderstruck.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - Thunderstruck.mp3,292.92,139590.0,5.004416465759277,2,.mp3
ACDC - You Shook Me All Night Long.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\ACDC - You Shook Me All Night Long.mp3,210.216,135003.0,3.412046432495117,2,.mp3
Acquire A Cappella - Turret Opera (from 'Portal 2') [A Cappella].mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Acquire A Cappella - Turret Opera (from 'Portal 2') [A Cappella].mp3,103.608,120020.0,1.555069923400879,2,.mp3
Aerosmith - Dream On.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Aerosmith - Dream On.mp3,267.624,132234.0,4.343934059143066,2,.mp3
Aerosmith - Sweet Emotion.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Aerosmith - Sweet Emotion.mp3,274.128,130778.0,4.447786331176758,2,.mp3
Aerosmith - Walk This Way.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Aerosmith - Walk This Way.mp3,220.344,134321.0,3.703370094299317,2,.mp3
"Alan Jackson, Jimmy Buffett - It's Five O'Clock Somewhere.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Alan Jackson, Jimmy Buffett - It's Five O'Clock Somewhere.mp3",229.824,132915.0,3.7626466751098633,2,.mp3
Alessia Cara - How Far I'll Go - From 'Moana'.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Alessia Cara - How Far I'll Go - From 'Moana'.mp3,175.536,123382.0,2.7418785095214844,2,.mp3
Alison Krauss - Down To The River To Pray.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Alison Krauss - Down To The River To Pray.mp3,176.4,119150.0,2.643246650695801,2,.mp3
Alphaville - Forever Young.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Alphaville - Forever Young.mp3,226.752,131191.0,3.720036506652832,2,.mp3
"America, George Martin - A Horse with No Name.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\America, George Martin - A Horse with No Name.mp3",252.264,136477.0,4.2843780517578125,2,.mp3
American Authors - Best Day Of My Life.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\American Authors - Best Day Of My Life.mp3,194.28,128153.0,3.158982276916504,2,.mp3
American Hi-Fi - The Geeks Get the Girls.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\American Hi-Fi - The Geeks Get the Girls.mp3,170.232,133265.0,2.8327322006225586,2,.mp3
Andrew McMahon in the Wilderness - All Our Lives.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Andrew McMahon in the Wilderness - All Our Lives.mp3,230.52,131553.0,3.687732696533203,2,.mp3
Andrew McMahon in the Wilderness - Love And Great Buildings.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Andrew McMahon in the Wilderness - Love And Great Buildings.mp3,228.048,131270.0,3.704094886779785,2,.mp3
"Antonio Vivaldi, Adrian Chandler, La Serenissima - The Four Seasons - Summer in G Minor, RV. 315- III. Presto.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Antonio Vivaldi, Adrian Chandler, La Serenissima - The Four Seasons - Summer in G Minor, RV. 315- III. Presto.mp3",167.904,129839.0,2.691438674926758,2,.mp3
"Antonio Vivaldi, Adrian Chandler, La Serenissima - The Four Seasons- Concerto No. 2 in G Minor, RV 315 'L'estate' (summer)- III. Presto.mp3","D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Antonio Vivaldi, Adrian Chandler, La Serenissima - The Four Seasons- Concerto No. 2 in G Minor, RV 315 'L'estate' (summer)- III. Presto.mp3",167.904,129839.0,2.6915016174316406,2,.mp3
Arctic Monkeys - Do I Wanna Know.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Arctic Monkeys - Do I Wanna Know.mp3,272.424,131385.0,4.313404083251953,2,.mp3
Asia - Heat Of The Moment.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Asia - Heat Of The Moment.mp3,227.928,131365.0,3.717648506164551,2,.mp3
Auli'i Cravalho - How Far I'll Go.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Auli'i Cravalho - How Far I'll Go.mp3,163.416,128001.0,2.6604013442993164,2,.mp3
Avril Lavigne - Complicated.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Avril Lavigne - Complicated.mp3,244.536,135268.0,4.04888916015625,2,.mp3
Avril Lavigne - Sk8er Boi.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Avril Lavigne - Sk8er Boi.mp3,204.024,141687.0,3.550334930419922,2,.mp3
Bachman-Turner Overdrive - You Ain't Seen Nothing Yet.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Bachman-Turner Overdrive - You Ain't Seen Nothing Yet.mp3,234.912,134616.0,3.959784507751465,2,.mp3
Baseball Hockey Sports Crew - Sweet Victory.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Baseball Hockey Sports Crew - Sweet Victory.mp3,231.552,120084.0,3.4079408645629883,2,.mp3
Bastille - Pompeii.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Bastille - Pompeii.mp3,214.176,131098.0,3.475452423095703,2,.mp3
Ben E. King - Stand By Me.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Ben E. King - Stand By Me.mp3,180.096,76383.0,1.7404022216796875,2,.mp3
Bill Withers - Lean on Me.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Bill Withers - Lean on Me.mp3,258.864,114254.0,3.65157699584961,2,.mp3
Billy Joel - Only the Good Die Young.mp3,D:\IU-OneDrive\OneDrive - Indiana University\Music\Spotify\favorites\Billy Joel - Only the Good Die Young.mp3,238.152,132383.0,3.883604049682617,2,.mp3
